Group,Variable,Value,,,,,,,,,,,
January,1880,-0.17,,,,,,,,,,,
February,1880,-0.24,,,,,,,,,,,
March,1880,-0.09,,,,,,,,,,,
April,1880,-0.16,,,,,,,,,,,
May,1880,-0.09,,,,,,,,,,,
June,1880,-0.2,,,,,,,,,,,
July,1880,-0.17,,,,,,,,,,,
August,1880,-0.09,,,,,,,,,,,
September,1880,-0.14,,,,,,,,,,,
October,1880,-0.23,,,,,,,,,,,
November,1880,-0.21,,,,,,,,,,,
December,1880,-0.17,,,,,,,,,,,
January,1881,-0.19,,,,,,,,,,,
February,1881,-0.13,,,,,,,,,,,
March,1881,0.04,,,,,,,,,,,
April,1881,0.06,,,,,,,,,,,
May,1881,0.07,,,,,,,,,,,
June,1881,-0.18,,,,,,,,,,,
July,1881,0.01,,,,,,,,,,,
August,1881,-0.02,,,,,,,,,,,
September,1881,-0.14,,,,,,,,,,,
October,1881,-0.21,,,,,,,,,,,
November,1881,-0.18,,,,,,,,,,,
December,1881,-0.06,,,,,,,,,,,
January,1882,0.17,,,,,,,,,,,
February,1882,0.15,,,,,,,,,,,
March,1882,0.05,,,,,,,,,,,
April,1882,-0.16,,,,,,,,,,,
May,1882,-0.14,,,,,,,,,,,
June,1882,-0.22,,,,,,,,,,,
July,1882,-0.15,,,,,,,,,,,
August,1882,-0.06,,,,,,,,,,,
September,1882,-0.14,,,,,,,,,,,
October,1882,-0.23,,,,,,,,,,,
November,1882,-0.15,,,,,,,,,,,
December,1882,-0.35,,,,,,,,,,,
January,1883,-0.28,,,,,,,,,,,
February,1883,-0.36,,,,,,,,,,,
March,1883,-0.12,,,,,,,,,,,
April,1883,-0.17,,,,,,,,,,,
May,1883,-0.17,,,,,,,,,,,
June,1883,-0.07,,,,,,,,,,,
July,1883,-0.06,,,,,,,,,,,
August,1883,-0.13,,,,,,,,,,,
September,1883,-0.2,,,,,,,,,,,
October,1883,-0.1,,,,,,,,,,,
November,1883,-0.22,,,,,,,,,,,
December,1883,-0.1,,,,,,,,,,,
January,1884,-0.12,,,,,,,,,,,
February,1884,-0.07,,,,,,,,,,,
March,1884,-0.35,,,,,,,,,,,
April,1884,-0.39,,,,,,,,,,,
May,1884,-0.34,,,,,,,,,,,
June,1884,-0.35,,,,,,,,,,,
July,1884,-0.31,,,,,,,,,,,
August,1884,-0.26,,,,,,,,,,,
September,1884,-0.26,,,,,,,,,,,
October,1884,-0.24,,,,,,,,,,,
November,1884,-0.32,,,,,,,,,,,
December,1884,-0.3,,,,,,,,,,,
January,1885,-0.58,,,,,,,,,,,
February,1885,-0.32,,,,,,,,,,,
March,1885,-0.25,,,,,,,,,,,
April,1885,-0.41,,,,,,,,,,,
May,1885,-0.44,,,,,,,,,,,
June,1885,-0.42,,,,,,,,,,,
July,1885,-0.32,,,,,,,,,,,
August,1885,-0.29,,,,,,,,,,,
September,1885,-0.27,,,,,,,,,,,
October,1885,-0.22,,,,,,,,,,,
November,1885,-0.22,,,,,,,,,,,
