Name	value
 Sanders, Bernard 	165900000
Clinton, Hillary Rodham	155500000
Cruz, Rafael Edward 'Ted'	69700000
Carson, Benjamin S. 	60100000
Trump, Donald J. 	49200000
 Rubio, Marco	44800000
Bush, Jeb	34500000
Kasich, John R.	15200000
Fiorina, Carly 	10500000
Walker, Scott 	10500000
 Christie, Christopher J.	8200000
O'Malley, Martin Joseph	5600000
 Graham, Lindsey O. 	5300000
 Huckabee, Mike 	4700000
 Perry, James R. (Rick) 	2000000
Jindal, Bobby	1400000
Paul, Rand 	1400000
Santorum, Richard J.	1380000
Webb, James Henry Jr. 	749000
Pataki, George E.	525000
 Lessig, Lawrence 	438000
Gilmore, James S IIII	350000
 Stein, Jill 	281000
 Johnson, Gary 	243000
